model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85209,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85209,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85251,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85251,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85251,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85251,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85251,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85251,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85251,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85254,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85254,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85254,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85254,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85254,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85254,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85254,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,46841,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,22055,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,81419,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,13821,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85260,Cream Premium Interior with Oak Wood Décor,MD
Model S,,63298,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,38244,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85260,Cream Premium Interior with Oak Wood Décor,MN
Model S,,40551,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85305,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85305,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85305,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85704,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,IL
